,ds,y,yhat,yhat_lower,yhat_upper
0,31/12/2015,55.47999954,52.06735913,45.45893071,58.58908999
1,04/01/2016,54.79999924,51.21476269,44.27374818,57.80209408
2,05/01/2016,55.04999924,51.20138906,44.83545364,57.96756835
3,06/01/2016,54.04999924,51.11943782,44.25271623,57.1418921
4,07/01/2016,52.16999817,51.05788227,44.36211517,57.39723084
5,08/01/2016,52.33000183,50.93145222,44.15362572,57.38688534
6,11/01/2016,52.29999924,50.75962608,44.39538857,57.5699303
7,12/01/2016,52.77999878,50.93159469,44.34464757,57.15500406
8,13/01/2016,51.63999939,51.04747067,45.06122469,57.6297039
9,14/01/2016,53.11000061,51.19256739,44.88674564,57.62136984
10,15/01/2016,50.99000168,51.27777917,44.31004884,57.63846386
11,19/01/2016,50.56000137,52.09669857,45.50768092,58.58083731
12,20/01/2016,50.79000092,52.3919048,46.30189706,58.90327416
13,21/01/2016,50.47999954,52.69967681,46.56272738,59.12733323
14,22/01/2016,52.29000092,52.92827593,46.16689545,59.95552948
15,25/01/2016,51.79000092,53.67716648,46.74234723,60.1224145
16,26/01/2016,52.16999817,54.09123927,47.4358723,60.46823445
17,27/01/2016,51.22000122,54.41022852,47.83636396,61.15994779
18,28/01/2016,52.06000137,54.71668027,48.24560978,61.23653252
19,29/01/2016,55.09000015,54.91956391,48.69762208,61.43405271
20,01/02/2016,54.70999908,55.45784884,48.62994045,62.37824478
21,02/02/2016,53,55.76310337,48.82863985,62.28875724
22,03/02/2016,52.15999985,55.95746948,49.13090103,62.18164152
23,04/02/2016,52,56.12579923,49.26926169,62.94382348
24,05/02/2016,50.15999985,56.17941204,49.46792245,62.10981183
25,08/02/2016,49.40999985,56.22587232,49.90610657,62.67976594
26,09/02/2016,49.27999878,56.35955938,49.99351022,63.20843133
27,10/02/2016,49.70999908,56.38162312,49.42949831,62.67526765
28,11/02/2016,49.68999863,56.37842829,49.74774107,63.29072518
29,12/02/2016,50.5,56.26255745,50.11223333,62.83715386
30,16/02/2016,51.09000015,55.80164892,49.18599481,62.2552497
31,17/02/2016,52.41999817,55.67477012,49.15066494,62.18857854
32,18/02/2016,52.18999863,55.52733695,49.06915999,61.96694399
33,19/02/2016,51.81999969,55.27178476,48.90887757,61.44842492
34,22/02/2016,52.65000153,54.4369415,48.0034965,60.39530024
35,23/02/2016,51.18000031,54.29331845,47.88413647,60.5813932
36,24/02/2016,51.36000061,54.04648089,47.09224223,60.75185766
37,25/02/2016,52.09999847,53.78283257,47.04072594,60.35503947
38,26/02/2016,51.29999924,53.41504263,46.73116051,59.92149317
39,29/02/2016,50.88000107,52.27240731,45.67010539,58.35417517
40,01/03/2016,52.58000183,52.03845207,46.16221895,58.57330396
